time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-09T03:37:05.390Z,43.9891,11.3087,10,4.6,mwr,,38,0.433,0.96,us,us60006p36,2019-12-19T02:07:39.270Z,"3km W of Scarperia, Italy",earthquake,4.8,1.9,0.047,44,reviewed,us,us
2019-12-04T09:43:25.082Z,44.1333,30.4769,16.13,4.3,mb,,62,3.376,0.72,us,us60006lwu,2019-12-04T10:20:31.040Z,"122km SE of Crisan, Romania",earthquake,7,6.1,0.307,3,reviewed,us,us
2019-12-03T22:16:11.086Z,43.2808,17.9751,10,3.1,ml,,116,1.271,0.62,us,us60006ltp,2019-12-20T04:33:15.854Z,"7km ENE of Blagaj, Bosnia and Herzegovina",earthquake,4.6,1.8,0.081,20,reviewed,us,us
2019-12-01T03:03:49.495Z,43.2431,18.0606,4.94,4.1,mb,,35,1.2,0.78,us,us70006exe,2019-12-02T01:26:26.857Z,"4km WSW of Nevesinje, Bosnia and Herzegovina",earthquake,4.5,7.2,0.302,3,reviewed,us,us
2019-11-26T09:19:26.080Z,43.2415,17.9617,10,5.4,mww,,23,1.253,1.08,us,us70006d4h,2019-12-02T10:58:36.393Z,"6km ESE of Blagaj, Bosnia and Herzegovina",earthquake,5.6,1.8,0.058,29,reviewed,us,us
2019-11-08T01:26:05.904Z,42.6656,17.651,10,4.4,mb,,57,1.212,0.86,us,us600068y7,2019-12-06T03:04:47.040Z,"17km SE of Blato, Croatia",earthquake,5.6,1.9,0.156,12,reviewed,us,us
2019-11-02T14:11:34.527Z,44.3854,17.5423,10,4.7,mb,,39,2.153,1.25,us,us700062b9,2019-12-15T14:21:14.040Z,"15km N of Turbe, Bosnia and Herzegovina",earthquake,4.4,1.8,0.05,123,reviewed,us,us
2019-10-22T23:35:42.044Z,47.6057,12.2548,10,3.8,ml,,38,1.381,1.11,us,us70005xfs,2019-10-31T21:56:19.779Z,"4km E of Kiefersfelden, Germany",earthquake,1.7,2,0.047,60,reviewed,us,us
2019-10-08T21:49:23.948Z,42.8627,78.7119,23.81,4.5,mb,,53,0.429,1.24,us,us70005sbz,2019-10-30T03:28:40.995Z,"32km ENE of Tyup, Kyrgyzstan",earthquake,6,5.7,0.106,26,reviewed,us,us
2019-10-03T13:01:39.849Z,50.21,18.8257,5,2.8,ml,,160,0.625,0.97,us,us70005quq,2019-10-04T19:24:36.040Z,"3km SE of Paniowki, Poland",earthquake,3.8,2,0.115,10,reviewed,us,us
2019-09-22T04:28:53.868Z,44.7143,18.5295,10,2.9,ml,,151,2.144,0.64,us,us60005lxm,2019-12-10T17:27:03.040Z,"3km ENE of Srebrenik, Bosnia and Herzegovina",earthquake,3.8,2,0.071,26,reviewed,us,us
2019-09-20T23:34:02.458Z,43.0299,17.9569,9.97,3.2,ml,,60,1.132,0.73,us,us60005lp0,2019-12-10T17:27:00.040Z,"6km S of Stolac, Bosnia and Herzegovina",earthquake,6.6,12.1,0.051,50,reviewed,us,us
2019-09-07T23:22:00.908Z,45.415,26.1455,139.5,4.1,mb,,46,0.16,1.1,us,us70005daw,2019-11-30T19:36:52.040Z,"8km NNW of Chiojdu, Romania",earthquake,6.8,4.1,0.166,10,reviewed,us,us
2019-09-07T00:30:16.288Z,43.1853,76.8626,10,3.1,ml,,109,1.085,0.88,us,us70005d4m,2019-11-30T19:36:59.040Z,"10km SW of Almaty, Kazakhstan",earthquake,4.4,2,0.128,8,reviewed,us,us
2019-09-03T11:52:52.396Z,45.5087,26.2188,113.27,4.6,mb,,16,0.193,0.86,us,us70005bfn,2019-11-30T19:37:29.040Z,"12km NNW of Nehoiu, Romania",earthquake,6.4,6.9,0.062,79,reviewed,us,us
