time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-23T23:46:41.900Z,36.5323,-98.968,5.113,2.5,ml,,79,,0.77,us,us10007mdz,2017-03-23T22:52:00.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.7,5,,,reviewed,tul,tul
2016-12-23T21:30:59.200Z,36.5311,-98.9679,4.537,3.4,ml,,57,,0.65,us,us10007mcx,2017-03-23T22:52:00.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,2.6,7.3,,,reviewed,tul,tul
2016-12-23T21:20:27.300Z,36.5333,-98.9637,4.881,2.6,ml,,59,,0.6,us,us10007mcp,2017-03-23T22:52:00.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.5,5.3,,,reviewed,tul,tul
2016-12-23T20:45:05.300Z,36.5341,-98.9667,6.012,3.4,ml,,60,,0.52,us,us10007mca,2017-03-23T22:52:00.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.4,2.3,,,reviewed,tul,tul
2016-12-23T19:31:12.960Z,36.7571,-104.9277,3.55,4.2,mwr,,24,0.068,1.4,us,us10007mbu,2017-03-23T22:52:00.040Z,"27km N of Cimarron, New Mexico",earthquake,3.4,6.2,0.06,27,reviewed,us,us
2016-12-23T12:12:54.440Z,41.4203333,-112.7425,0.57,2.53,ml,12,222,0.2474,0.11,uu,uu60010095,2017-03-23T22:51:59.040Z,"56km WNW of Plain City, Utah",earthquake,0.92,31.61,0.141,10,reviewed,uu,uu
2016-12-23T05:58:56.200Z,34.6188,-96.2255,4.316,2.5,ml,,90,,0.32,us,us10007m6f,2017-03-23T22:51:59.040Z,"8km N of Coalgate, Oklahoma",earthquake,2.2,3.7,,,reviewed,tul,tul
2016-12-23T03:25:08.500Z,35.8492,-97.3754,5.954,2.8,ml,,27,,0.24,us,us10007m62,2017-03-23T22:51:59.040Z,"5km SE of Guthrie, Oklahoma",earthquake,1,5.3,,,reviewed,tul,tul
2016-12-22T14:58:02.300Z,36.8449,-98.239,6.205,2.6,ml,,80,,0.38,us,us10007lzz,2017-03-16T02:31:33.040Z,"14km NE of Cherokee, Oklahoma",earthquake,1.7,7.2,,,reviewed,tul,tul
2016-12-22T14:46:56.680Z,37.2285,-97.8685,4.45,3.1,ml,,77,0.021,0.23,us,us10007lzy,2017-03-16T02:31:33.040Z,"15km ESE of Harper, Kansas",earthquake,1.6,3.5,0.091,17,reviewed,ismp,ismp
2016-12-22T14:21:44.700Z,35.6705,-97.4011,6.842,3.3,ml,,27,,0.18,us,us10007lzv,2017-03-16T02:31:33.040Z,"7km ENE of Edmond, Oklahoma",earthquake,0.6,4.1,,,reviewed,tul,tul
2016-12-22T10:21:04.800Z,36.3921,-97.6383,4.935,2.5,ml,,31,,0.34,us,us10007lyn,2017-03-16T02:31:33.040Z,"21km E of Enid, Oklahoma",earthquake,0.8,7.1,,,reviewed,tul,tul
2016-12-22T07:19:50.300Z,32.2238333,-115.2145,19.76,2.55,ml,17,195,0.1414,0.19,ci,ci37769360,2017-02-08T20:58:02.100Z,"4km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.61,0.82,0.239,45,reviewed,ci,ci
2016-12-22T01:58:57.000Z,36.4457,-98.7749,6.072,3,ml,,49,,0.51,us,us10007lvi,2017-03-16T02:31:33.040Z,"32km NW of Fairview, Oklahoma",earthquake,3.4,7.1,,,reviewed,tul,tul
2016-12-21T22:46:40.250Z,43.6332,-105.2615,0,3.1,ml,,76,1.011,0.54,us,us10007rme,2017-03-16T02:31:32.040Z,"Wyoming",mining explosion,4,1.7,0.06,46,reviewed,us,us
2016-12-21T22:38:27.250Z,33.506,-116.556,8.62,2.69,ml,112,24,0.04022,0.17,ci,ci37768840,2017-02-08T21:45:10.843Z,"12km ESE of Anza, CA",earthquake,0.1,0.21,0.21,26,reviewed,ci,ci
2016-12-21T22:01:44.280Z,32.5236667,-115.6315,10.67,3.05,ml,57,77,0.1487,0.24,ci,ci37768816,2017-03-16T02:31:32.040Z,"8km SW of Progreso, B.C., MX",earthquake,0.24,0.47,0.18,183,reviewed,ci,ci
2016-12-21T20:59:32.000Z,36.4445,-98.7795,6.005,2.6,ml,,66,,1.16,us,us10007lsl,2017-03-16T02:31:32.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,5.9,,,reviewed,tul,tul
2016-12-21T17:52:03.500Z,36.6311,-98.4879,2.445,2.9,ml,,61,,0.2,us,us10007lrw,2017-03-16T02:31:32.040Z,"18km SW of Cherokee, Oklahoma",earthquake,1.3,5.7,,,reviewed,tul,tul
2016-12-21T17:39:52.100Z,36.3947,-97.3232,7.461,2.6,ml,,38,,0.45,us,us10007lrv,2017-03-16T02:31:32.040Z,"12km NNW of Perry, Oklahoma",earthquake,0.9,4.5,,,reviewed,tul,tul
2016-12-21T15:12:49.660Z,37.5673,-97.8291,3.16,2.9,mb_lg,,41,0.301,0.33,us,us10007lqa,2017-03-16T02:31:32.040Z,"8km SSW of Cheney, Kansas",earthquake,2.3,5.9,0.069,54,reviewed,us,us
2016-12-21T14:13:38.100Z,36.6317,-98.4859,2.128,2.5,ml,,84,,0.17,us,us10007lq2,2017-03-16T02:31:32.040Z,"17km SW of Cherokee, Oklahoma",earthquake,1.9,5.2,,,reviewed,tul,tul
2016-12-21T12:46:16.900Z,36.4028,-96.7096,1.991,2.6,ml,,71,,0.55,us,us10007lpk,2017-03-16T02:31:32.040Z,"11km NE of Pawnee, Oklahoma",earthquake,1.4,7.2,,,reviewed,tul,tul
2016-12-20T20:11:04.420Z,33.2233333,-116.0878333,11,3.15,ml,79,29,0.1025,0.19,ci,ci37768032,2017-03-16T02:31:31.040Z,"10km NNE of Ocotillo Wells, CA",earthquake,0.13,0.36,0.164,233,reviewed,ci,ci
2016-12-20T19:56:31.280Z,44.3601,-105.4506,0,3.1,ml,,91,1.044,0.78,us,us10007rga,2017-03-16T02:31:31.040Z,"Wyoming",mining explosion,4.9,2,0.057,48,reviewed,us,us
2016-12-20T19:11:51.820Z,32.5295,-115.6336667,10.01,2.92,ml,30,97,0.1428,0.21,ci,ci37767960,2017-02-08T19:42:40.683Z,"7km SW of Progreso, B.C., MX",earthquake,0.28,0.66,0.16,109,reviewed,ci,ci
2016-12-20T15:44:37.350Z,47.7143333,-113.6855,3.57,2.98,ml,21,133,0.266,0.18,mb,mb80193889,2017-03-16T02:31:31.040Z,"34km ENE of Pablo, Montana",earthquake,0.49,2.6,0.413,8,reviewed,mb,mb
2016-12-20T14:03:07.200Z,36.1717,-96.7699,4.264,3.2,ml,,44,,0.27,us,us200082tv,2017-03-16T02:31:31.040Z,"9km NW of Yale, Oklahoma",earthquake,0.9,2.7,,,reviewed,tul,tul
